,n_epoch,nnl,bc_type,f1,recall
0,2000,<class 'torch.nn.modules.activation.ReLU'>,best,0.0,0.0
1,2000,<class 'torch.nn.modules.activation.ReLU'>,more_best,0.0,0.0
2,2000,<class 'torch.nn.modules.activation.ReLU'>,random,0.5947092220590985,0.5555555555555556
3,2000,<class 'torch.nn.modules.activation.Tanh'>,best,0.5867056935133604,0.5370370370370371
4,2000,<class 'torch.nn.modules.activation.Tanh'>,more_best,0.17117117117117117,0.11728395061728396
5,2000,<class 'torch.nn.modules.activation.Tanh'>,random,0.6062651185292695,0.5617283950617283
6,2000,<class 'torch.nn.modules.activation.Sigmoid'>,best,0.0,0.0
7,2000,<class 'torch.nn.modules.activation.Sigmoid'>,more_best,0.0,0.0
8,2000,<class 'torch.nn.modules.activation.Sigmoid'>,random,0.400705467372134,0.3950617283950617
9,5000,<class 'torch.nn.modules.activation.ReLU'>,best,0.0,0.0
10,5000,<class 'torch.nn.modules.activation.ReLU'>,more_best,0.0,0.0
11,5000,<class 'torch.nn.modules.activation.ReLU'>,random,0.6258886509467819,0.691358024691358
12,5000,<class 'torch.nn.modules.activation.Tanh'>,best,0.5895385751199704,0.5308641975308642
13,5000,<class 'torch.nn.modules.activation.Tanh'>,more_best,0.4024821115762596,0.3950617283950617
14,5000,<class 'torch.nn.modules.activation.Tanh'>,random,0.596659144496353,0.54320987654321
15,5000,<class 'torch.nn.modules.activation.Sigmoid'>,best,0.0,0.0
16,5000,<class 'torch.nn.modules.activation.Sigmoid'>,more_best,0.0,0.0
17,5000,<class 'torch.nn.modules.activation.Sigmoid'>,random,0.6043254253534628,0.5617283950617283
18,7000,<class 'torch.nn.modules.activation.ReLU'>,best,0.0,0.0
19,7000,<class 'torch.nn.modules.activation.ReLU'>,more_best,0.0,0.0
20,7000,<class 'torch.nn.modules.activation.ReLU'>,random,0.6189485215555063,0.6358024691358025
21,7000,<class 'torch.nn.modules.activation.Tanh'>,best,0.5767394677169113,0.5308641975308642
22,7000,<class 'torch.nn.modules.activation.Tanh'>,more_best,0.5861742782549472,0.5246913580246914
23,7000,<class 'torch.nn.modules.activation.Tanh'>,random,0.596659144496353,0.54320987654321
24,7000,<class 'torch.nn.modules.activation.Sigmoid'>,best,0.0,0.0
25,7000,<class 'torch.nn.modules.activation.Sigmoid'>,more_best,0.0,0.0
26,7000,<class 'torch.nn.modules.activation.Sigmoid'>,random,0.5924454828660436,0.54320987654321
