,n_epoch,nnl,bc_type,f1,recall
0,2000,<class 'torch.nn.modules.activation.ReLU'>,best,0.1627906976744186,0.12962962962962962
1,2000,<class 'torch.nn.modules.activation.ReLU'>,more_best,0.0,0.0
2,2000,<class 'torch.nn.modules.activation.ReLU'>,random,0.5771759495826946,0.5493827160493828
3,2000,<class 'torch.nn.modules.activation.Tanh'>,best,0.6154298315177317,0.5987654320987654
4,2000,<class 'torch.nn.modules.activation.Tanh'>,more_best,0.0,0.0
5,2000,<class 'torch.nn.modules.activation.Tanh'>,random,0.5522067096898534,0.5061728395061729
6,2000,<class 'torch.nn.modules.activation.Sigmoid'>,best,0.0,0.0
7,2000,<class 'torch.nn.modules.activation.Sigmoid'>,more_best,0.0,0.0
8,2000,<class 'torch.nn.modules.activation.Sigmoid'>,random,0.5998329156223893,0.5802469135802469
9,5000,<class 'torch.nn.modules.activation.ReLU'>,best,0.0,0.0
10,5000,<class 'torch.nn.modules.activation.ReLU'>,more_best,0.0,0.0
11,5000,<class 'torch.nn.modules.activation.ReLU'>,random,0.5008388216233834,0.43209876543209874
12,5000,<class 'torch.nn.modules.activation.Tanh'>,best,0.5713176144244105,0.5061728395061729
13,5000,<class 'torch.nn.modules.activation.Tanh'>,more_best,0.0,0.0
14,5000,<class 'torch.nn.modules.activation.Tanh'>,random,0.5826435961352313,0.54320987654321
15,5000,<class 'torch.nn.modules.activation.Sigmoid'>,best,0.0,0.0
16,5000,<class 'torch.nn.modules.activation.Sigmoid'>,more_best,0.0,0.0
17,5000,<class 'torch.nn.modules.activation.Sigmoid'>,random,0.5534391534391535,0.5308641975308642
18,7000,<class 'torch.nn.modules.activation.ReLU'>,best,0.0,0.0
19,7000,<class 'torch.nn.modules.activation.ReLU'>,more_best,0.0,0.0
20,7000,<class 'torch.nn.modules.activation.ReLU'>,random,0.5181397306397306,0.4876543209876543
21,7000,<class 'torch.nn.modules.activation.Tanh'>,best,0.5599170825365068,0.5308641975308642
22,7000,<class 'torch.nn.modules.activation.Tanh'>,more_best,0.19753086419753085,0.19753086419753085
23,7000,<class 'torch.nn.modules.activation.Tanh'>,random,0.5594792034876871,0.5555555555555555
24,7000,<class 'torch.nn.modules.activation.Sigmoid'>,best,0.0,0.0
25,7000,<class 'torch.nn.modules.activation.Sigmoid'>,more_best,0.0,0.0
26,7000,<class 'torch.nn.modules.activation.Sigmoid'>,random,0.5324258431531897,0.5123456790123457
