,n_epoch,nnl,bc_type,f1,recall
0,2000,<class 'torch.nn.modules.activation.ReLU'>,best,0.2028985507246377,0.1728395061728395
1,2000,<class 'torch.nn.modules.activation.ReLU'>,more_best,0.39393939393939387,0.4012345679012346
2,2000,<class 'torch.nn.modules.activation.ReLU'>,random,0.5808823529411765,0.5370370370370371
3,2000,<class 'torch.nn.modules.activation.Tanh'>,best,0.5768811798223563,0.5617283950617283
4,2000,<class 'torch.nn.modules.activation.Tanh'>,more_best,0.5973855285630499,0.5864197530864198
5,2000,<class 'torch.nn.modules.activation.Tanh'>,random,0.5953968152549712,0.5740740740740741
6,2000,<class 'torch.nn.modules.activation.Sigmoid'>,best,0.20058997050147495,0.20987654320987656
7,2000,<class 'torch.nn.modules.activation.Sigmoid'>,more_best,0.6038315180460908,0.6234567901234569
8,2000,<class 'torch.nn.modules.activation.Sigmoid'>,random,0.6159713650345814,0.5864197530864197
9,5000,<class 'torch.nn.modules.activation.ReLU'>,best,0.0,0.0
10,5000,<class 'torch.nn.modules.activation.ReLU'>,more_best,0.3835309617918314,0.35802469135802467
11,5000,<class 'torch.nn.modules.activation.ReLU'>,random,0.5853489858269647,0.5802469135802469
12,5000,<class 'torch.nn.modules.activation.Tanh'>,best,0.5948213115660007,0.5987654320987654
13,5000,<class 'torch.nn.modules.activation.Tanh'>,more_best,0.6045345303875252,0.5925925925925926
14,5000,<class 'torch.nn.modules.activation.Tanh'>,random,0.5963963963963964,0.5740740740740741
15,5000,<class 'torch.nn.modules.activation.Sigmoid'>,best,0.6053840339554625,0.6234567901234569
16,5000,<class 'torch.nn.modules.activation.Sigmoid'>,more_best,0.5995385151216114,0.5740740740740741
17,5000,<class 'torch.nn.modules.activation.Sigmoid'>,random,0.563099966898378,0.5493827160493826
18,7000,<class 'torch.nn.modules.activation.ReLU'>,best,0.19607843137254902,0.1851851851851852
19,7000,<class 'torch.nn.modules.activation.ReLU'>,more_best,0.5747589207869416,0.5370370370370371
20,7000,<class 'torch.nn.modules.activation.ReLU'>,random,0.5968709545009631,0.5555555555555555
21,7000,<class 'torch.nn.modules.activation.Tanh'>,best,0.5882471747133402,0.5740740740740741
22,7000,<class 'torch.nn.modules.activation.Tanh'>,more_best,0.5409217844861409,0.5246913580246914
23,7000,<class 'torch.nn.modules.activation.Tanh'>,random,0.5688371548075272,0.5555555555555556
24,7000,<class 'torch.nn.modules.activation.Sigmoid'>,best,0.5740183177176544,0.5864197530864198
25,7000,<class 'torch.nn.modules.activation.Sigmoid'>,more_best,0.6166989956463641,0.5987654320987654
26,7000,<class 'torch.nn.modules.activation.Sigmoid'>,random,0.583848764882977,0.5679012345679012
